time, type, dataflowid, value, cost, f, maxOutDataRate, currentOutDataRate, omega,,
6660, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,148,110.6111111,0.749338624,0.747372372,0.69266669
6840, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,154.6666667,110,0.715388007,0.711206897,0.69266669
7020, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,152,110,0.727513228,0.723684211,0.69266669
7200, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,21.87999725,0.555005036,150.6666667,110.6111111,0.737213404,0.734144543,0.69266669
7380, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,146.6666667,110,0.751763668,0.75,0.613500023
7560, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,154.6666667,110.6111111,0.719025573,0.715158046,0.613500023
7740, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,150.6666667,110,0.733575838,0.730088496,0.613500023
7920, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,149.3333333,110.6111111,0.743276014,0.740699405,0.613500023
8100, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,31.37999725,0.416067534,154.6666667,110,0.715388007,0.711206897,0.613500023
8280, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,152,110.6111111,0.731150794,0.727704678,0.601500003
8460, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,150.6666667,111.2222222,0.742063492,0.73820059,0.601500003
8640, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,150.6666667,111.2222222,0.74085097,0.73820059,0.601500003
8820, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,152,111.2222222,0.73478836,0.731725146,0.601500003
9000, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,141.3333333,110.6111111,0.785108025,0.782625786,0.601500003
9180, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,149.3333333,111.2222222,0.748126102,0.744791667,0.601500003
9360, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,148,111.8333333,0.759645062,0.755630631,0.601500003
9540, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,149.3333333,110.6111111,0.743276014,0.740699405,0.601500003
9720, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,145.3333333,110.6111111,0.766920194,0.761085627,0.601500003
9900, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,152,111.8333333,0.738425926,0.735745614,0.601500003
10080, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,150.6666667,110.6111111,0.737213404,0.734144543,0.601500003
10260, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,145.3333333,110.6111111,0.761463845,0.761085627,0.601500003
10440, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,152,111.8333333,0.739638448,0.735745614,0.601500003
10620, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,148,111.2222222,0.75297619,0.751501502,0.601500003
10800, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,32.81999969,0.395007498,156,110.6111111,0.712962963,0.709045584,0.601500003
10980, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,42.32000732,0.256069884,148,111.2222222,0.753582451,0.751501502,0.522333272
11160, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,42.32000732,0.256069884,149.3333333,111.2222222,0.74691358,0.744791667,0.522333272
11340, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,42.32000732,0.256069884,148,110.6111111,0.749338624,0.747372372,0.522333272
11520, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,42.32000732,0.256069884,146.6666667,111.2222222,0.759645062,0.758333333,0.522333272
11700, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,42.32000732,0.256069884,156,111.2222222,0.716600529,0.712962963,0.522333272
11880, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,146.6666667,111.2222222,0.759645062,0.758333333,0.510333379
12060, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,154.6666667,110.6111111,0.719631834,0.715158046,0.510333379
12240, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,145.3333333,111.2222222,0.765707672,0.76529052,0.510333379
12420, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,152,111.8333333,0.739638448,0.735745614,0.510333379
12600, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,145.3333333,110.6111111,0.761463845,0.761085627,0.510333379
12780, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,150.6666667,110.6111111,0.737213404,0.734144543,0.510333379
12960, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,152,111.8333333,0.739032187,0.735745614,0.510333379
13140, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,149.3333333,110.6111111,0.743882275,0.740699405,0.510333379
13320, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,152,110.6111111,0.731150794,0.727704678,0.510333379
13500, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,150.6666667,111.8333333,0.745094797,0.742256637,0.510333379
13680, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,150.6666667,111.2222222,0.741457231,0.73820059,0.510333379
13860, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,145.3333333,110.6111111,0.761463845,0.761085627,0.510333379
14040, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,150.6666667,111.2222222,0.74085097,0.73820059,0.510333379
14220, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,152,111.2222222,0.73478836,0.731725146,0.510333379
14400, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,43.75999451,0.235010071,149.3333333,110.6111111,0.743882275,0.740699405,0.510333379
14580, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,53.25999451,0.096072569,152,111.2222222,0.735394621,0.731725146,0.431166712
14760, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,53.25999451,0.096072569,146.6666667,111.2222222,0.759038801,0.758333333,0.431166712
14940, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,53.25999451,0.096072569,153.3333333,111.2222222,0.72872575,0.725362319,0.431166712
15120, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,53.25999451,0.096072569,149.3333333,110.6111111,0.743882275,0.740699405,0.431166712
15300, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,53.25999451,0.096072569,152,111.2222222,0.73478836,0.731725146,0.431166712
15480, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,150.6666667,111.8333333,0.745094797,0.742256637,0.419166629
15660, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,149.3333333,110.6111111,0.743882275,0.740699405,0.419166629
15840, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,150.6666667,110.6111111,0.737213404,0.734144543,0.419166629
16020, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,145.3333333,111.8333333,0.769951499,0.769495413,0.419166629
16200, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,150.6666667,110.6111111,0.737213404,0.734144543,0.419166629
16380, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,150.6666667,110.6111111,0.737819665,0.734144543,0.419166629
16560, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,152,111.8333333,0.738425926,0.735745614,0.419166629
16740, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,152,111.2222222,0.73478836,0.731725146,0.419166629
16920, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,145.3333333,110.6111111,0.761463845,0.761085627,0.419166629
17100, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,150.6666667,111.2222222,0.742063492,0.73820059,0.419166629
17280, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,148,111.2222222,0.753582451,0.751501502,0.419166629
17460, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,153.3333333,110.6111111,0.725088183,0.721376812,0.419166629
17640, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,149.3333333,111.2222222,0.747519841,0.744791667,0.419166629
17820, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,153.3333333,111.2222222,0.72872575,0.725362319,0.419166629
18000, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,54.70000458,0.075012422,150.6666667,111.2222222,0.74085097,0.73820059,0.419166629
18180, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,64.20000458,-0.06392508,144,110.6111111,0.769951499,0.768132716,0.339999962
18360, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,64.20000458,-0.06392508,149.3333333,111.2222222,0.749944885,0.744791667,0.339999962
18540, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,64.20000458,-0.06392508,142.6666667,111.8333333,0.786926808,0.783878505,0.339999962
18720, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,64.20000458,-0.06392508,154.6666667,110.6111111,0.721450617,0.715158046,0.339999962
18900, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,64.20000458,-0.06392508,144,110.6111111,0.772376543,0.768132716,0.339999962
19080, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,149.3333333,111.8333333,0.753582451,0.748883929,0.328000005
19260, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,146.6666667,110.6111111,0.755401235,0.754166667,0.328000005
19440, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,148,110.6111111,0.749338624,0.747372372,0.328000005
19620, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,153.3333333,111.8333333,0.732969577,0.729347826,0.328000005
19800, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,148,111.2222222,0.753582451,0.751501502,0.328000005
19980, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,153.3333333,110.6111111,0.725088183,0.721376812,0.328000005
20160, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,146.6666667,111.2222222,0.759645062,0.758333333,0.328000005
20340, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,152,111.2222222,0.735394621,0.731725146,0.328000005
20520, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,145.3333333,110.6111111,0.761463845,0.761085627,0.328000005
20700, COORD, 596bd24c-f3c6-48f2-86a6-0876486053e5,0.875,65.63999939,-0.084985005,152,111.2222222,0.73478836,0.731725146,0.328000005
